Einnahmen,Fixe Ausgaben,Geld zur Freien Verfügung,Betrag der Ausgaben,Art der Ausgabe,Datum
452.5,366.5,232.52,35.00,Hotel,03.01.2025
1043.99,135.09,,31.99,Alkohol,03.01.2025
150.00,30.0,,2.19,Obst,03.01.2025
,29.0,,2.55,Kaugummi,03.01.2025
,5.99,,4.38,Protein,03.01.2025
,7.49,,2.19,Protein,03.01.2025
,28.0,,-0.66,Protein,03.01.2025
,199.65,,2.80,Obst,03.01.2025
,,,2.85,Milch,03.01.2025
,,,3.38,Milch,03.01.2025
,,,0.95,Jogurt,03.01.2025
,,,0.95,Jogurt,03.01.2025
,,,1.54,Protein,03.01.2025
,,,1.69,Getränke,03.01.2025
,,,0.25,Getränke,03.01.2025
,,,1.25,Mehl,03.01.2025
,,,2.99,Sonstiges,03.01.2025
,,,4.99,Sonstiges,03.01.2025
,,,34.99,Elektro,03.01.2025
,,,24.99,Sonstiges,03.01.2025
,,,9.99,Sonstiges,03.01.2025
,,,2.00,Getränke,05.01.2025
,,,3.38,Süßigkeiten,05.01.2025
,,,39.47,Prag,07.01.2025
,,,2.15,Süßigkeiten,07.01.2025
,,,1.49,Brot,07.01.2025
,,,2.49,Gemüse,07.01.2025
,,,1.19,Aufstrich,07.01.2025
,,,2.99,Obst,07.01.2025
,,,2.99,Obst,07.01.2025
,,,21.29,Mate,08.01.2025
,,,3.49,Sauße,08.01.2025
,,,2.00,Sauße,08.01.2025
,,,2.99,Proteine,08.01.2025
,,,1.29,Pasta,08.01.2025
,,,1.29,Pasta,08.01.2025
,,,1.39,Salat,08.01.2025
,,,0.40,Gemüse,08.01.2025
,,,2.59,Protein,09.01.2025
,,,3.49,Fastfood,09.01.2025
,,,0.78,Brot,09.01.2025
,,,2.39,Kartoffeln,09.01.2025
,,,1.29,Gemüse,09.01.2025
,,,1.99,Alkohol,09.01.2025
,,,89.00,Sprit,11.01.2025
,,,1.77,Brot,13.01.2025
,,,1.99,Aufstrich,13.01.2025
,,,6.99,Fastfood,13.01.2025
,,,16.00,Prag,14.01.2025
,,,21.59,Alkohol,14.01.2025
,,,4.78,Pasta,14.01.2025
,,,2.99,Fastfood,15.01.2025
,,,0.39,Brot,15.01.2025
,,,0.39,Brot,15.01.2025
,,,6.29,Sonstiges,15.01.2025
,,,1.99,Obst,15.01.2025
,,,0.79,Pasta,15.01.2025
,,,1.89,Sauße,15.01.2025
,,,2.14,Alkohol,17.01.2025
,,,1.99,Protein,17.01.2025
,,,2.20,Brot,17.01.2025
,,,0.99,Saft,17.01.2025
,,,0.25,Saft,17.01.2025
,,,2.99,Protein,17.01.2025
,,,5.00,Sonstiges,17.01.2025
,,,10.03,Fastfood,17.01.2025
,,,17.61,Alkohol,17.01.2025
,,,22.74,Alkohol,18.01.2025
,,,2.19,Protein,21.01.2025
,,,1.39,Süßigkeiten,21.01.2025
,,,1.50,Brot,21.01.2025
,,,0.99,Süßigkeiten,21.01.2025
,,,9.04,Süßigkeiten,21.01.2025
,,,5.48,Fastfood,21.01.2025
,,,2.69,Reis,23.01.2025
,,,1.49,Gemüse,23.01.2025
,,,1.40,Gemüse,23.01.2025
,,,3.99,Sonstiges,23.01.2025
,,,4.49,Gemüse,23.01.2025
,,,0.99,Protein,21.01.2025
,,,2.49,Protein,21.01.2025
,,,4.38,Protein,21.01.2025
,,,1.99,Obst,21.01.2025
,,,2.99,Obst,21.01.2025
,,,1.48,Obst,22.01.2025
,,,2.79,Sonstiges,22.01.2025
,,,1.35,Getränke,22.01.2025
,,,0.25,Getränke,22.01.2025
,,,1.99,Tee,22.01.2025
,,,1.19,Tee,22.01.2025
,,,17.79,Alkohol,25.01.2025
,,,3.10,Alkohol,25.01.2025
,,,1.49,Gemüse,25.01.2025
,,,1.29,Brot,25.01.2025
,,,3.18,Sonstiges,25.01.2025
,,,2.78,Sauce,25.01.2025
,,,0.99,Aufstrich,25.01.2025
,,,2.49,Süßigkeiten,25.01.2025
,,,1.29,Brot,25.01.2025
,,,1.59,Gemüse,25.01.2025
,,,6.58,Protein,25.01.2025
,,,0.79,Salat,25.01.2025
,,,3.49,Gemüse,25.01.2025
,,,10.00,Sonstiges,24.01.2025
