Einnahmen,Fixe Ausgaben,Geld zur Freien Verfügung,Betrag der Ausgaben,Art der Ausgabe,Datum
634.0,366.5,64.24,3.60,Fastfood,01.10.2024
250.0,135.09,,1.98,Einkaufen,01.10.2024
1530.04,30.0,,23.35,Einkaufen,01.10.2024
360,29.0,,40.30,Einkaufen,01.10.2024
,10.99,,6.99,Sonstiges,01.10.2024
,7.49,,1000,Bafög,02.10.2024
,28.0,,12.72,Wandern,02.10.2024
,199.65,,29.45,Einkaufen,02.10.2024
,19.90,,8.81,Einkaufen,04.10.2024
,,,9.51,Einkaufen,04.10.2024
,,,4.87,Einkaufen,05.10.2024
,,,5.84,Einkaufen,05.10.2024
,,,3.94,Einkaufen,08.10.2024
,,,100,Restaurant,26.10.2024
,,,3.99,Gewürz,10.10.2024
,,,3.99,Gewürz,10.10.2024
,,,2.79,Sauce,10.10.2024
,,,5.49,Sauce,10.10.2024
,,,2.99,Protein,10.10.2024
,,,4.38,Protein,10.10.2024
,,,1.49,Gemüse,10.10.2024
,,,1.00,Gemüse,10.10.2024
,,,1.87,Gemüse,10.10.2024
,,,1.63,Gemüse,10.10.2024
,,,1.99,Gemüse,10.10.2024
,,,0.99,Mate,10.10.2024
,,,0.15,Mate,10.10.2024
,,,2.19,Sauce,10.10.2024
,,,3.49,Kartoffeln,10.10.2024
,,,18.38,Fastfood,12.10.2024
,,,14,ÖPNV,12.10.2024
,,,14,ÖPNV,12.10.2024
,,,14,ÖPNV,14.10.2024
,,,4.38,Protein,14.10.2024
,,,1.99,Protein,14.10.2024
,,,1.99,Gemüse,14.10.2024
,,,1.00,Gemüse,14.10.2024
,,,1.99,Gemüse,14.10.2024
,,,2.99,Obst,14.10.2024
,,,1.29,Sauce,14.10.2024
,,,1.29,Sauce,14.10.2024
,,,20.00,Sonstiges,14.10.2024
,,,5.00,Sonstiges,14.10.2024
,,,14,ÖPNV,15.10.2024
,,,2.00,ÖPNV,15.10.2024
,,,3.74,Alkohol,16.10.2024
,,,0.99,Mate,16.10.2024
,,,0.15,Mate,16.10.2024
,,,4.38,Protein,16.10.2024
,,,0.99,Süßigkeiten,16.10.2024
,,,4.99,Medikamente,16.10.2024
,,,0.99,Mate,17.10.2024
,,,0.15,Mate,17.10.2024
,,,4.49,Fastfood,17.10.2024
,,,1.10,Süßigkeiten,17.10.2024
,,,1.50,Süßigkeiten,17.10.2024
,,,1.08,Brot,17.10.2024
,,,1.49,Brot,17.10.2024
,,,2.49,Obst,17.10.2024
,,,2.29,Kartoffeln,17.10.2024
,,,1.58,Pasta,17.10.2024
,,,2.79,Reis,17.10.2024
,,,3.18,Sauße,17.10.2024
,,,1.29,Sauße,17.10.2024
,,,1.29,Sauße,17.10.2024
,,,1.99,Getränk,17.10.2024
,,,0.25,Getränk,17.10.2024
,,,1.19,Süßigkeiten,18.10.2024
,,,2.85,Sonstiges,18.10.2024
,,,1.98,Sonstiges,18.10.2024
,,,1.94,Mate,22.10.2024
,,,0.94,Gemüse,22.10.2024
,,,1.19,Protein,22.10.2024
,,,1.19,Protein,22.10.2024
,,,6.57,Protein,22.10.2024
,,,2.69,Obst,22.10.2024
,,,1.59,Gemüse,22.10.2024
,,,1.89,Gewürze,22.10.2024
,,,0.99,Gewürze,22.10.2024
,,,1.98,Getränk,22.10.2024
,,,0.50,Getränk,22.10.2024
,,,1.99,Fastfood,24.10.2024
,,,0.99,Mate,24.10.2024
,,,0.15,Mate,24.10.2024
,,,2.49,Getränk,24.10.2024
,,,2.99,Protein,24.10.2024
,,,3.29,Protein,24.10.2024
,,,-0.99,Protein,24.10.2024
,,,1.79,Protein,24.10.2024
,,,1.79,Protein,24.10.2024
,,,1.58,Pasta,24.10.2024
,,,1.99,Sauce,24.10.2024
,,,1.99,Sauce,24.10.2024
,,,1.59,Sauce,24.10.2024
,,,6.50,Fastfood,25.10.2024
,,,20.00,Restaurant,25.10.2024
,,,1.20,Mate,25.10.2024
,,,3.30,Fastfood,25.10.2024
,,,30.00,Sprit,26.10.2024
,,,1.20,Brot,28.10.2024
,,,35,Alkohol,28.10.2024
,,,2.40,Mate,28.10.2024
,,,1.67,Protein,28.10.2024
,,,28.09,Alkohol,27.10.2024
,,,1.94,Mate,29.10.2024
,,,19.97,Film,29.10.2024
,,,12.99,Buch,29.10.2024
,,,19.00,Buch,29.10.2024
,,,5.95,Sonstiges,29.10.2024
,,,8.59,Buch,29.10.2024
,,,1.99,Alkohol,30.11.2024
,,,17.99,Alkohol,30.11.2024
,,,2.22,Kartoffeln,30.11.2024
,,,1.58,Protein,30.11.2024
,,,1.29,Gemüse,30.11.2024
,,,159.90,Kleidung,11.11.2024
,,,,,
