Einnahmen,Fixe Ausgaben,Geld zur Freien Verfügung,Geldbetrag,Art der Ausgabe,Datum
452.5,366.5,-385.67,1.04,Gemüse,02.12.2024
1468.74,135.09,,3.29,Protein,02.12.2024
,30.0,,1.29,Obst,02.12.2024
,29.0,,1.29,Gemüse,02.12.2024
,5.99,,1.00,Gemüse,02.12.2024
,7.49,,2.99,Gemüse,02.12.2024
,28.0,,7.49,Öl,02.12.2024
,19.9,,1.59,Soße,02.12.2024
,,,1.39,Fastfood,02.12.2024
,,,4.60,Fastfood,04.12.2024
,,,1.99,Fastfood,04.12.2024
,,,3.49,Sauße,04.12.2024
,,,1.29,Tee,04.12.2024
,,,1.29,Tee,04.12.2024
,,,2.29,Tee,04.12.2024
,,,2.22,Protein,03.12.2024
,,,3.49,Fastfood,03.12.2024
,,,0.99,Mate,03.12.2024
,,,0.15,Mate,03.12.2024
,,,30.97,Flixbus,17.12.2024
,,,1.95,Sonstiges,17.12.2024
,,,7.00,Fastfood,17.12.2024
,,,8.39 ,Fastfood,17.12.2024
,,,1.94,Edeka,17.12.2024
,,,13.48,Rossmann,17.12.2024
,,,9.80,Fastfood,17.12.2024
,,,8.87,Prag,17.12.2024
,,,8.87,Prag,17.12.2024
,,,9.27,Prag,17.12.2024
,,,23.04,Prag,17.12.2024
,,,8.87,Prag,17.12.2024
,,,8.87,Prag,17.12.2024
,,,8.87,Prag,17.12.2024
,,,6.84,Prag,17.12.2024
,,,6.31,Prag,17.12.2024
,,,112.98,Kopfhörer,17.12.2024
,,,5.49,Film,17.12.2024
,,,19.90,Sonstiges,17.12.2024
,,,22.98,Sonstiges,17.12.2024
,,,73.80,Klamotten,17.12.2024
,,,4.82,Prag,17.12.2024
,,,7.95,Prag,17.12.2024
,,,10.49,Prag,17.12.2024
,,,84.12,Restaurant,17.12.2024
,,,10.99,Spotify,17.12.2024
,,,3.74,Edeka,17.12.2024
,,,6.67,Edeka,17.12.2024
,,,11.78,Fastfood,17.12.2024
,,,10.04,Rossmann,17.12.2024
,,,4.60,Fastfood,17.12.2024
,,,1.24,Mate,17.12.2024
,,,34,Restaurant,17.12.2024
,,,15.60,Edeka,17.12.2024
,,,19.16,Penny,17.12.2024
,,,12.54,Penny,17.12.2024
,,,18.66,Edeka,17.12.2024
,,,588.00,Bafög,17.12.2024
,,,0.85,Sonstiges,20.12.2024
,,,1.85,Fastfood,20.12.2024
,,,1.19,Sonstiges,20.12.2024
,,,6.57,Protein,20.12.2024
,,,5.79,Alkohol,20.12.2024
,,,9.99,Alkohol,20.12.2024
,,,1.40,Gemüse,20.12.2024
,,,0.94,Gemüse,21.12.2024
,,,2.22,Obst,21.12.2024
,,,0.99,Gemüse,21.12.2024
,,,1.19,Gemüse,21.12.2024
,,,1.99,Pilze,21.12.2024
,,,0.95,Milch,21.12.2024
,,,0.89,Pasta,21.12.2024
,,,2.99,Reis,21.12.2024
,,,2.99,Alkohol,21.12.2024
,,,17.79,Alkohol,21.12.2024
,,,2.99,Protein,21.12.2024
,,,13.00,Film,28.12.2024
,,,7.00,Fastfood,28.12.2024
,,,10.00,Fastfood,28.12.2024
,,,38.87,Penny,28.12.2024
,,,3.12,Edeka,28.12.2024
,,,155,Urlaub,30.12.2024
,,,14.68,Alkohol,30.12.2024
,,,5.99,Getränke,30.12.2024
,,,3.65,Sonstiges,31.12.2024
,,,84.00,Sprit,31.12.2024
