Einnahmen,Fixe Ausgaben,Geld zur Freien Verfügung,Betrag der Ausgaben,Art der Ausgabe,Datum
452.5,366.5,1232.65,3.49,Fastfood,01.02.2025
1769.32,135.09,,2.49,Sonstiges,01.02.2025
,30.0,,3.98,Sonstiges,01.02.2025
,29.0,,1.99,Obst,01.02.2025
,5.99,,1.69,Pasta,01.02.2025
,7.49,,1.99,Gemüse,01.02.2025
,28.0,,4.38,Protein,01.02.2025
,89.9,,1.99,Pilze,01.02.2025
,,,13.47,Bad,01.02.2025
,,,1.49,Gemüse,01.02.2025
,,,0.96,Gemüse,01.02.2025
,,,1.11,Protein,01.02.2025
,,,4.38,Protein,01.02.2025
,,,1.19,Aufstrich,01.02.2025
,,,1.90,Milch,01.02.2025
,,,2.78,Getränke,01.02.2025
,,,0.50,Getränke,01.02.2025
,,,48.99,Technik,01.02.2025
,,,33.47,Flixbus,01.02.2025
,,,1.26,Gemüse,01.02.2025
,,,2.89,Protein,01.02.2025
,,,1.08,Brot,01.02.2025
,,,0.99,Süßigkeiten,01.02.2025
,,,1.75,Süßigkeiten,01.02.2025
,,,1.99,Obst,01.02.2025
,,,1.59,Gemüse,01.02.2025
,,,1.50,Gemüse,01.02.2025
,,,2.99,Obst,01.02.2025
,,,1.78,Küche,01.02.2025
,,,1.99,Sauce,01.02.2025
,,,2.99,Gemüse,01.02.2025
,,,0.95,Küche,01.02.2025
,,,9.49,Küche,01.02.2025
,,,4.99,Sonstiges,01.02.2025
,,,11.00,Fastfood,01.02.2025
,,,1.00,Sonstiges,02.02.2025
,,,9.49,Waschmaschiene,04.02.2025
,,,1.29,Brot,04.02.2025
,,,3.49,Fastfood,04.02.2025
,,,1.54,Gemüse,04.02.2025
,,,4.30,Süßigkeiten,04.02.2025
,,,1.04,Brot,04.02.2025
,,,2.95,Protein,04.02.2025
,,,2.95,Protein,04.02.2025
,,,1.29,Aufstrich,04.02.2025
,,,1.49,Salat,04.02.2025
,,,16.49,Alkohol,04.02.2025
,,,3.10,Alkohol,04.02.2025
,,,1.98,Getränke,04.02.2025
,,,0.50,Getränke,04.02.2025
,,,2.99,Protein,06.02.2025
,,,1.19,Süßigkeiten,06.02.2025
,,,0.16,Alkohol,06.02.2025
,,,2.30,Alkohol,06.02.2025
,,,1.39,Sonstiges,06.02.2025
,,,2.99,Kartoffeln,07.02.2025
,,,3.49,Sauce,07.02.2025
,,,2.58,Sahne,07.02.2025
,,,2.79,Sauce,07.02.2025
,,,1.49,Gemüse,07.02.2025
,,,2.79,Gewürze,07.02.2025
,,,1.49,Gemüse,07.02.2025
,,,1.99,Süßigkeiten,07.02.2025
,,,1.99,Gemüse,07.02.2025
,,,2.99,Obst,07.02.2025
,,,3.96,Getränke,07.02.2025
,,,1.00,Getränke,07.02.2025
,,,0.99,Getränke,07.02.2025
,,,0.25,Getränke,07.02.2025
,,,4.38,Protein,11.02.2025
,,,1.19,Gemüse,11.02.2025
,,,1.20,Pilze,11.02.2025
,,,1.58,Milch,11.02.2025
,,,0.85,Pasta,11.02.2025
,,,1.19,Süßigkeiten,11.02.2025
,,,3.49,Alkohl,11.02.2025
,,,1.58,Süßigkeiten,12.02.2025
,,,6.56,Getränke,12.02.2025
,,,1.99,Getränke,12.02.2025
