Einnahmen,Fixe Ausgaben,Geld zur Freien Verfügung,Grund,Art der Ausgabe,Datum
634.0,366.5,769.12,3.49,Fastfood,02.11.2024
1475.21,135.09,,9.99,Alkohol,02.11.2024
,30.0,,1.98,Mate,02.11.2024
,29.0,,0.30,Mate,02.11.2024
,10.99,,1.90,Sonstiges,02.11.2024
,7.49,,6.00,Fastfood,03.11.2024
,28.0,,9.00,Fastfood,03.11.2024
,19.9,,5.50,Fastfood,03.11.2024
,,,15.42,Fastfood,04.11.2024
,,,11.99,Film,04.11.2024
,,,1.99,Protein,05.11.2024
,,,1.79,Brot,05.11.2024
,,,1.20,Mate,05.11.2024
,,,22.12,Alkohol,04.11.2024
,,,93,Sprit,06.11.2024
,,,1.20,Getränke,06.11.2024
,,,4.60,Protein,06.11.2024
,,,44.95,Kleidung,07.11.2024
,,,23.00,Restaurant,07.11.2024
,,,0.78,Brot,08.11.2024
,,,1.19,Protein,08.11.2024
,,,4.38,Protein,08.11.2024
,,,1.19,Salat,08.11.2024
,,,2.29 ,Gemüse,08.11.2024
,,,3.16,Sauce,08.11.2024
,,,2.99,Obst,08.11.2024
,,,0.59,Mehl,08.11.2024
,,,0.49,Süßigkeiten,08.11.2024
,,,1.49,Gemüse,08.11.2024
,,,3.99,Sonstiges,08.11.2024
,,,1.14,Mate,08.11.2024
,,,2.99,Protein,08.11.2024
,,,2.49,Saft,08.11.2024
,,,1.29,Gemüse,08.11.2024
,,,0.69,Süßigkeiten,08.11.2024
,,,6.00,Fastfood,08.11.2024
,,,6.50,Sonstiges,09.11.2024
,,,1.58,Süsigkeiten,09.11.2024
,,,1.19,Protein,09.11.2024
,,,1.19,Protein,09.11.2024
,,,1.00,Obst,09.11.2024
,,,1.58,Pasta,09.11.2024
,,,0.97,Pasta,09.11.2024
,,,1.49,Sonstiges,09.11.2024
,,,75.00,Restaurant,11.11.2024
,,,3.90,Mate,12.11.2024
,,,1.98,Mate,12.11.2024
,,,3.99,Film,14.11.2024
,,,16.79,Mate,15.11.2024
,,,4.50,Mate,15.11.2024
,,,1.98,Getränke,15.11.2024
,,,0.30,Getränke,15.11.2024
,,,2.30,Alkohol,15.11.2024
,,,0.16,Alkohol,15.11.2024
,,,4.19,Alkohol,15.11.2024
,,,0.60,Alkohol,15.11.2024
,,,13.00,Fastfood,15.11.2024
,,,1.64,Getränke,13.11.2024
,,,5.98,Alkohol,13.11.2024
,,,3.49,Gewürze,13.11.2024
,,,3.30,Protein,13.11.2024
,,,4.38,Protein,16.11.2024
,,,2.79,Obst,16.11.2024
,,,1.00,Gemüse,16.11.2024
,,,1.79,Pilze,16.11.2024
,,,2.99,Obst,16.11.2024
,,,3.18,Sauße,16.11.2024
,,,1.99,Sauße,16.11.2024
,,,1.29,Gemüse,16.11.2024
,,,1.49,Brot,16.11.2024
,,,4.14,Alkohol,16.11.2024
,,,26.24,Sonstiges,18.11.2024
,,,47.70,Bouldern,18.11.2024
,,,14.80,Bouldern,18.11.2024
,,,1.20,Brot,18.11.2024
,,,2.29,Gemüse,18.11.2024
,,,2.30,Protein,21.11.2024
,,,75.39,Protein,26.11.2024
,,,25.00,Sonstiges,23.11.2024
,,,19.00,Freizeit,23.11.2024
,,,19.00,Restaurant,23.11.2024
