Einnahmen,Fixe Ausgaben,Geld zur Freien Verfügung,Betrag der Ausgaben,Art der Ausgabe,Datum
250,357.5,2.62,30,Sonstiges,29.08.2024
538,128.30,,95,Sprit,30.08.2024
794.08,30,,14.17,Einkaufen,29.08.2024
1.72,29,,13.92,Einkaufen,29.08.2024
,10.99,,6,Einkaufen,02.09.2024
,7.49,,19.72,Einkaufen,03.09.2024
,,,16.09,Einkaufen,02.09.2024
,,,6.34,Einkaufen,04.09.2024
,,,1.64,Einkaufen,05.09.2024
,,,5,Friseur,05.09.2024
,,,45,Sonstiges,09.09.2024
,,,172.55,Auto,08.09.2024
,,,4.40,Fastfood,08.09.2024
,,,3.88,Fastfood,08.09.2024
,,,6.99,Sonstiges,30.08.2024
,,,11.99,Sonstiges,11.09.2024
,,,32.12,Einkaufen,11.09.2024
,,,19.97,Einkaufen,11.09.2024
,,,20.97,Einkaufen,14.09.2024
,,,67.00,Sonstiges,18.09.2024
,,,18,Sonstiges,18.09.2024
,,,20,Restaurant,11.09.2024
,,,15.77,Einkaufen,18.09.2024
,,,40.30,Einkaufen,25.09.2024
,,,23.35,Einkaufen,25.09.2024
,,,1.98,Einkaufen,25.09.2024
,,,8.86,Einkaufen,24.09.2024
,,,7.60,Einkaufen,24.09.2024
,,,3.60,Sonstiges,23.09.2024
,,,15.77,Einkaufen,19.09.2024
,,,2.81,Einkaufen,20.09.2024
,,,10.00,Sonstiges,20.09.2024
,,,28.00,Sonstiges,23.09.2024
,,,11.10,Restaurant,23.09.2024
,,,1.40,Einkaufen,23.09.2024
,,,86.00,Sprit,23.09.2024
,,,5.79,Sonstiges,23.09.2024
,,,11.13,Einkaufen,23.09.2024
,,,7.98,Restaurant,24.09.2024
,,,19.00,Restaurant,24.09.2024
,,,15.98,Einkaufen,27.09.2024
,,,40.00,Sonstiges,30.09.2024
,,,8.86,Einkaufen,25.09.2024
,,,12.07,Einkaufen,30.09.2024
,,,2.20,Einkaufen,30.09.2024
,,,7.60,Einkaufen,25.09.2024
