Kategorie, Betrag, Monat, Zeilen, Spalten, Sonderausgabe, Betrag
Kindergeld, 250, , , , ,
Bafög, 538, , , , ,
Miete, 366.50, , , , ,
AOKVersicherung, 135.09, , , , ,
Handyflatrate, 30.00, , , , ,
29€ Ticket, 29.00, , , , ,
Spotify, 10.99, , , , ,
Youtube, 7.49, , , , ,
GYM, 28.00, , , , ,
, , August, 7, 4, Playstation, 71.99
, , Januar, 8, 4, Semesterbeitrag, 85
, , , , , Autoversicherung, 199.65
, , April, 7, 4, Autoversicherung, 199.65
, , Juli, 7, 4, Autoversicherung, 199.65
, , Oktober, 7, 4, Autoversicherung, 199.65
, , März, 7, 4, Kfz-Steuer, 106
, , Februar, 7, 4, Versicherung, 89.90
, , Juni, 8, 4, Semesterbeitrag, 85
